external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A712926,Bella,2015-01-03,2015-09-30 11:58:00,270.0,Dog,Stray,Normal,Female,True,Rat Terrier Mix,Tricolor
A668654,Elvis,2013-09-30,2015-09-30 11:58:00,730.0,Dog,Public Assist,Normal,Male,False,Chihuahua Shorthair Mix,Black/Tricolor
A711968,Parker,2014-09-30,2015-09-30 12:21:00,365.0,Dog,Owner Surrender,Normal,Male,False,Brittany Mix,Brown/White
A712928,Oreo,2008-10-01,2015-09-30 12:27:00,2555.0,Dog,Owner Surrender,Normal,Male,True,Shih Tzu/Miniature Poodle,Black/White
A712929,Hannah,2015-04-03,2015-09-30 13:09:00,180.0,Dog,Stray,Normal,Female,False,Labrador Retriever Mix,Black
A712930,Max,2015-06-02,2015-09-30 13:13:00,120.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby/White
A712931,Mike,2015-06-02,2015-09-30 13:13:00,120.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,White/Orange Tabby
A712932,Annie,2015-06-02,2015-09-30 13:13:00,120.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Black/White
A712933,Laura,2015-06-02,2015-09-30 13:13:00,120.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Calico
A712934,Chole,2015-07-02,2015-09-30 13:21:00,90.0,Dog,Stray,Normal,Female,True,French Bulldog/Dachshund,Black/White
A712936,Coffee,2014-09-30,2015-09-30 13:23:00,365.0,Dog,Stray,Normal,Female,True,Shiba Inu Mix,Red
A712935,*Thelma,2008-10-01,2015-09-30 13:23:00,2555.0,Dog,Stray,Normal,Female,True,Shiba Inu Mix,Red/Tan
A712937,Artemis,2015-01-03,2015-09-30 13:30:00,270.0,Dog,Stray,Normal,Female,True,Great Pyrenees Mix,White/Tricolor
A712939,,2013-09-30,2015-09-30 13:39:00,730.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Cream Tabby
A697974,Sugar Mama,2013-09-30,2015-09-30 14:01:00,730.0,Dog,Owner Surrender,Normal,Female,False,Chihuahua Shorthair Mix,Brown/White
A703876,Conrad,2013-09-30,2015-09-30 14:22:00,730.0,Dog,Owner Surrender,Normal,Male,False,Rottweiler Mix,Tricolor
A676830,Champ,2014-09-30,2015-09-30 15:02:00,365.0,Dog,Owner Surrender,Normal,Male,False,Finnish Spitz Mix,Tan
A712945,Candy,2011-10-01,2015-09-30 15:07:00,1460.0,Dog,Stray,Injured,Female,True,Chihuahua Shorthair Mix,White/Tan
A712946,Tenshi,2009-10-01,2015-09-30 15:14:00,2190.0,Dog,Owner Surrender,Normal,Female,False,Papillon Mix,White/Tricolor
