external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A521520,Nina,2006-10-03,2013-10-01 07:51:00,2555.0,Dog,Stray,Normal,Female,False,Border Terrier/Border Collie,White/Tan
A664235,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664236,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664237,,2013-09-24,2013-10-01 08:33:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange/White
A664233,Stevie,2010-10-02,2013-10-01 08:53:00,1095.0,Dog,Stray,Injured,Female,True,Pit Bull Mix,Blue/White
A664238,,2013-06-03,2013-10-01 09:33:00,120.0,Cat,Stray,Normal,Unknown,,American Shorthair Mix,Black/White
A664234,,2005-10-03,2013-10-01 10:37:00,2920.0,Dog,Stray,Injured,Male,True,Border Collie Mix,Black/White
A664256,*Donnie,1996-10-05,2013-10-01 10:59:00,6205.0,Cat,Owner Surrender,Normal,Male,False,Domestic Shorthair Mix,Brown Tabby/White
A664257,Pippin,2009-10-02,2013-10-01 11:01:00,1460.0,Dog,Stray,Normal,Female,True,Podengo Pequeno Mix,Black
A664266,,2012-10-01,2013-10-01 11:09:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Buff
A664258,Sylvio,2006-10-03,2013-10-01 11:15:00,2555.0,Dog,Stray,Normal,Male,False,Weimaraner Mix,Silver
A648744,Claire,2012-10-01,2013-10-01 11:15:00,365.0,Dog,Stray,Normal,Female,False,Anatol Shepherd Mix,White/Tricolor
A664260,,2013-09-10,2013-10-01 11:21:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664261,,2013-09-10,2013-10-01 11:21:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A651630,Heather,2007-10-03,2013-10-01 11:23:00,2190.0,Dog,Owner Surrender,Injured,Female,False,Labrador Retriever/Chinese Sharpei,Tan
A664259,*Petunia,2008-10-02,2013-10-01 11:25:00,1825.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,Black
A664269,*Bismark,2011-10-02,2013-10-01 11:28:00,730.0,Dog,Stray,Normal,Male,False,Great Pyrenees Mix,White
A664262,,2013-09-24,2013-10-01 11:45:00,7.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664263,,2013-09-24,2013-10-01 11:45:00,7.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664265,*Dixon,2013-08-02,2013-10-01 11:51:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664264,*Mason,2013-08-02,2013-10-01 11:51:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664267,*Asti,2013-06-03,2013-10-01 11:59:00,120.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,White/Black
A664268,*Kochka,2010-10-02,2013-10-01 12:05:00,1095.0,Cat,Stray,Normal,Female,True,Russian Blue Mix,Blue
A664271,,2013-09-24,2013-10-01 12:35:00,7.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Orange Tabby
A664272,*Grace,2012-10-01,2013-10-01 13:12:00,365.0,Dog,Stray,Normal,Female,False,Cairn Terrier Mix,Brown
A664273,Buffy,2012-10-01,2013-10-01 13:32:00,365.0,Dog,Stray,Normal,Female,True,Dachshund/Chihuahua Shorthair,Brown
A664253,Moose,2011-10-02,2013-10-01 13:44:00,730.0,Dog,Public Assist,Normal,Male,False,Black/Tan Hound Mix,Black/Brown
A664274,Estrella,2005-10-03,2013-10-01 13:48:00,2920.0,Dog,Owner Surrender,Normal,Female,True,Siberian Husky Mix,Buff
A658012,Lucio,2010-10-02,2013-10-01 13:48:00,1095.0,Dog,Stray,Normal,Male,False,Chihuahua Shorthair Mix,Red
A664277,*Pogo,2013-02-03,2013-10-01 14:12:00,240.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,White/Brown
A636021,Sera,2012-10-01,2013-10-01 14:12:00,365.0,Dog,Public Assist,Normal,Female,False,Pit Bull Mix,Brown
A664275,Mcdermot,2011-10-02,2013-10-01 14:12:00,730.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair Mix,Tricolor
A664280,Coco,2007-10-03,2013-10-01 14:34:00,2190.0,Dog,Stray,Normal,Female,False,Miniature Poodle Mix,Apricot
A660220,Jade,2012-10-01,2013-10-01 14:35:00,365.0,Dog,Euthanasia Request,Injured,Female,False,Yorkshire Terrier/Miniature Poodle,Gray
A634503,Otter,2011-10-02,2013-10-01 14:49:00,730.0,Dog,Owner Surrender,Normal,Female,False,Norfolk Terrier Mix,Tan
A664281,,2011-10-02,2013-10-01 15:13:00,730.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664282,,2011-10-02,2013-10-01 15:13:00,730.0,Cat,Stray,Normal,Female,True,Domestic Longhair Mix,Brown Tabby
A664284,,2013-10-01,2013-10-01 15:20:00,0.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Black/White
A664283,Juliet,2012-10-01,2013-10-01 15:20:00,365.0,Cat,Stray,Nursing,Female,True,Domestic Shorthair Mix,Black/White
A664285,,2013-10-01,2013-10-01 15:20:00,0.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Black
A664287,Daisy,2013-06-03,2013-10-01 15:38:00,120.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Brown/White
A664286,Sugar,2011-10-02,2013-10-01 15:38:00,730.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,White/Brown
A664288,,2011-10-02,2013-10-01 15:52:00,730.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue/White
A659642,*Trevor,2011-10-02,2013-10-01 15:58:00,730.0,Dog,Owner Surrender,Normal,Male,False,Dachshund/Basset Hound,Brown Brindle
A664297,*Tybalt,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Orange Tabby/White
A664289,,2013-07-03,2013-10-01 16:03:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby/White
A664292,,2013-01-04,2013-10-01 16:03:00,270.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby/White
A664293,*Romeo,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Black/White
A664294,*Juliet,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Female,True,Domestic Medium Hair Mix,Black
A664295,*Paris,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Brown Tabby/White
A664296,*Mercutio,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Brown Tabby
A664298,*Benvolio,2013-09-01,2013-10-01 16:03:00,30.0,Cat,Stray,Normal,Male,True,Domestic Medium Hair Mix,Orange Tabby
A664302,,2013-01-04,2013-10-01 16:03:00,270.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664303,,2013-01-04,2013-10-01 16:03:00,270.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664304,,2013-01-04,2013-10-01 16:03:00,270.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664290,*Taylor,2013-09-03,2013-10-01 16:05:00,28.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A664291,*Tyler,2013-09-03,2013-10-01 16:05:00,28.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black
A664307,*Sneezy,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Female,True,Anatol Shepherd/Labrador Retriever,Cream
A664306,*Tiny,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Female,True,Australian Shepherd Mix,White/Tricolor
A664305,Annabelle,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Female,True,Anatol Shepherd/Labrador Retriever,White
A664301,Neville,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Female,True,Anatol Shepherd/Great Pyrenees,White/Tan
A664300,*Happy,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Male,True,Anatol Shepherd/Great Pyrenees,White/Tricolor
A664299,*Doc,2013-09-01,2013-10-01 16:10:00,30.0,Dog,Stray,Normal,Male,True,Anatol Shepherd/Great Pyrenees,White/Tricolor
A664309,*Romo,2012-10-01,2013-10-01 16:19:00,365.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair Mix,Tan
A646850,Lizzy,2013-01-04,2013-10-01 16:21:00,270.0,Dog,Owner Surrender,Normal,Female,False,German Shepherd Mix,Brown/White
A664313,,2013-09-24,2013-10-01 17:27:00,7.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A659035,Zoe,2012-12-05,2013-10-01 17:39:00,300.0,Dog,Owner Surrender,Normal,Female,False,Belgian Malinois Mix,Tan/White
A477934,Suzie Q,2006-10-03,2013-10-01 17:48:00,2555.0,Dog,Stray,Normal,Female,False,Pit Bull Mix,Red/White
A664319,Boris,2013-04-04,2013-10-01 18:27:00,180.0,Dog,Owner Surrender,Normal,Male,True,Jack Russell Terrier/Chihuahua Shorthair,Tan/Black
A664321,,2012-10-01,2013-10-01 18:50:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Tan/Cream
A664322,*Eloise,2013-09-10,2013-10-01 19:01:00,21.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A656387,Ned,2011-10-02,2013-10-01 19:05:00,730.0,Dog,Owner Surrender,Normal,Male,False,Labrador Retriever/Chow Chow,Red/White
A664326,*Wilbur,2012-10-01,2013-10-01 23:16:00,365.0,Dog,Stray,Normal,Male,True,Pit Bull Mix,Tan/White
A609552,Zuzu,2011-10-03,2013-10-02 07:41:00,730.0,Dog,Stray,Normal,Female,False,Doberman Pinsch/Pit Bull,Black/Tan
A664328,,2013-06-04,2013-10-02 08:04:00,120.0,Other,Wildlife,Sick,Unknown,,Bat Mix,Brown
A664329,,2013-09-02,2013-10-02 08:06:00,30.0,Cat,Stray,Injured,Male,True,Domestic Shorthair Mix,Black/White
A664339,*Trey,2013-09-02,2013-10-02 10:51:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Medium Hair,Black
A664340,Butter,2013-09-02,2013-10-02 10:51:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664335,Angie,2012-10-02,2013-10-02 10:51:00,365.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664338,*J,2013-09-02,2013-10-02 10:51:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Black
A664337,,2013-08-03,2013-10-02 11:04:00,60.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Calico
A664336,,2013-08-03,2013-10-02 11:04:00,60.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Calico
A614012,Lillian,2011-10-03,2013-10-02 11:16:00,730.0,Cat,Owner Surrender,Normal,Female,False,Domestic Shorthair Mix,Brown Tabby
A664341,Zooe,2011-10-03,2013-10-02 11:46:00,730.0,Dog,Stray,Normal,Female,True,Jack Russell Terrier Mix,White/Tan
A664342,*Miso,2012-10-02,2013-10-02 12:10:00,365.0,Dog,Stray,Injured,Female,True,Japanese Chin Mix,White/Black
A664348,,2011-10-03,2013-10-02 12:18:00,730.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664344,,2013-09-18,2013-10-02 12:21:00,14.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,White/Blue
A664345,,2013-09-18,2013-10-02 12:21:00,14.0,Cat,Stray,Nursing,Female,True,Domestic Shorthair Mix,Calico
A664346,,2013-09-18,2013-10-02 12:21:00,14.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Black Tabby/White
A664347,,2013-09-18,2013-10-02 12:21:00,14.0,Cat,Stray,Nursing,Male,True,Domestic Shorthair Mix,Blue Tabby
A664349,*Elvira,2012-10-02,2013-10-02 12:33:00,365.0,Dog,Stray,Normal,Female,True,Staffordshire Mix,Brown Brindle/White
A664350,Elvis,2010-10-03,2013-10-02 12:41:00,1095.0,Dog,Stray,Normal,Male,False,Welsh Terrier Mix,Tan/Brown
A664352,*Romeo,2011-10-03,2013-10-02 13:06:00,730.0,Dog,Stray,Normal,Male,True,Shetland Sheepdog/Italian Greyhound,Sable/White
A664354,Tazz,2012-10-02,2013-10-02 13:07:00,365.0,Dog,Stray,Normal,Male,True,Vizsla Mix,Red/White
A664353,Ziggy,2011-10-03,2013-10-02 13:22:00,730.0,Dog,Stray,Normal,Male,True,German Shepherd/Alaskan Husky,White
A664355,Jewels,2009-10-03,2013-10-02 13:31:00,1460.0,Dog,Stray,Normal,Female,False,Miniature Poodle Mix,Black
A664356,Azul,2013-03-06,2013-10-02 13:41:00,210.0,Dog,Owner Surrender,Normal,Male,True,Pit Bull Mix,Blue/White
A663673,Frosty,2009-10-03,2013-10-02 14:27:00,1460.0,Dog,Owner Surrender,Normal,Male,True,Great Pyrenees Mix,White
A664359,*Lula Belle,2011-10-03,2013-10-02 14:43:00,730.0,Dog,Stray,Normal,Female,True,Australian Cattle Dog/Border Collie,White/Tricolor
A664361,Deeohhgee,2012-10-02,2013-10-02 14:47:00,365.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,Tan/Black
A664363,,2010-10-03,2013-10-02 15:01:00,1095.0,Dog,Stray,Normal,Female,True,Labrador Retriever/German Shepherd,White
A656761,Gotti,2006-10-04,2013-10-02 15:02:00,2555.0,Dog,Public Assist,Normal,Male,True,Pit Bull Mix,Fawn
A664368,Zeus,2013-06-04,2013-10-02 15:14:00,120.0,Dog,Stray,Normal,Male,True,German Shepherd Mix,Brown/Black
A664370,,2013-07-04,2013-10-02 15:16:00,90.0,Cat,Owner Surrender,Normal,Male,True,Domestic Medium Hair Mix,White/Black
A664372,*Halloween,2013-08-03,2013-10-02 15:26:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black
A664373,October,2013-07-04,2013-10-02 15:26:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Torbie
A664374,*Birch,2012-10-02,2013-10-02 15:35:00,365.0,Other,Stray,Normal,Male,True,Rabbit Sh Mix,White/Brown
A664375,Chevy,2010-10-03,2013-10-02 15:52:00,1095.0,Dog,Public Assist,Normal,Male,True,Labrador Retriever Mix,Black
A664377,*Aries,2012-10-02,2013-10-02 16:08:00,365.0,Dog,Stray,Normal,Female,True,American Staffordshire Terrier Mix,Blue/White
A663177,,2013-08-03,2013-10-02 16:58:00,60.0,Dog,Owner Surrender,Normal,Male,False,American Bulldog Mix,Brown/White
A664379,Miley,2012-10-02,2013-10-02 17:32:00,365.0,Dog,Stray,Normal,Female,True,Border Terrier Mix,Brown/White
A664380,,2013-05-05,2013-10-02 17:40:00,150.0,Cat,Stray,Normal,Female,True,Domestic Medium Hair Mix,Calico
A664382,Chewey,2013-04-05,2013-10-02 17:54:00,180.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Chocolate
A657832,Serenity,2013-03-06,2013-10-02 17:59:00,210.0,Dog,Owner Surrender,Normal,Female,False,Great Dane/Labrador Retriever,Black/White
A664384,,2013-04-05,2013-10-02 18:09:00,180.0,Other,Wildlife,Injured,Unknown,,Raccoon Mix,Brown
A664387,,2013-09-18,2013-10-02 18:20:00,14.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Blue Tabby
A664388,,2013-09-18,2013-10-02 18:20:00,14.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue Tabby
A664386,,2001-10-05,2013-10-02 18:36:00,4380.0,Cat,Stray,Sick,Female,True,Domestic Shorthair Mix,Brown Tabby
A664391,Walter,2012-10-02,2013-10-02 18:55:00,365.0,Dog,Stray,Normal,Male,True,Harrier Mix,White/Brown
A651982,Amie,2006-10-04,2013-10-02 18:59:00,2555.0,Dog,Public Assist,Normal,Female,False,Flat Coat Retriever Mix,Black
A664392,Moose,2006-10-04,2013-10-02 19:06:00,2555.0,Cat,Owner Surrender,Injured,Male,False,Domestic Medium Hair Mix,Orange Tabby
A664395,*Harry,2013-08-03,2013-10-02 21:19:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby
A664399,*Beth,2013-09-03,2013-10-03 07:20:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A664421,*Daisy,2008-10-04,2013-10-03 10:58:00,1825.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,Brown
A664425,Simba,2013-09-03,2013-10-03 10:59:00,30.0,Dog,Public Assist,Normal,Male,True,Chihuahua Shorthair Mix,White/Tan
A664426,Canelo,2013-09-03,2013-10-03 10:59:00,30.0,Dog,Public Assist,Normal,Male,True,Chihuahua Shorthair Mix,Tan
A664424,Spot,2005-10-05,2013-10-03 11:04:00,2920.0,Dog,Stray,Normal,Male,False,Chihuahua Shorthair/Mexican Hairless,Red/White
A664428,,2012-10-03,2013-10-03 11:26:00,365.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Torbie
A664432,,2012-10-03,2013-10-03 11:27:00,365.0,Dog,Stray,Normal,Male,True,Miniature Poodle Mix,White
A664430,,2013-01-06,2013-10-03 11:29:00,270.0,Other,Wildlife,Normal,Unknown,,Skunk,Black/White
A664434,Missy,2013-05-06,2013-10-03 11:36:00,150.0,Dog,Public Assist,Normal,Female,True,Chihuahua Shorthair Mix,Tan/White
A664435,,2013-05-06,2013-10-03 11:51:00,150.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black/White
A664436,,2013-05-06,2013-10-03 11:51:00,150.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A664437,,2013-05-06,2013-10-03 11:51:00,150.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby/White
A664438,,2011-10-04,2013-10-03 12:14:00,730.0,Other,Wildlife,Injured,Unknown,,Raccoon Mix,Black/White
A664442,*Candy Corn,2013-09-03,2013-10-03 12:42:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black
A664444,*Tudor,2013-09-03,2013-10-03 12:42:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue Tabby/White
A664441,Wyatts,2013-09-03,2013-10-03 12:42:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A627854,Brownie,2012-10-03,2013-10-03 13:05:00,365.0,Dog,Stray,Normal,Male,True,Dachshund Mix,Blue Merle/Brown
A664446,*Riley,2010-10-04,2013-10-03 13:06:00,1095.0,Cat,Stray,Injured,Male,True,Domestic Shorthair Mix,Orange Tabby
A664448,,2013-06-05,2013-10-03 13:09:00,120.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue Tabby
A664449,Roxie,2008-10-04,2013-10-03 13:28:00,1825.0,Dog,Owner Surrender,Normal,Female,True,Yorkshire Terrier Mix,Tan
A664450,Miley,2008-10-04,2013-10-03 13:28:00,1825.0,Dog,Owner Surrender,Normal,Female,True,Chihuahua Shorthair Mix,Tan
A663948,Pumpkin,2013-07-05,2013-10-03 14:00:00,90.0,Cat,Public Assist,Normal,Male,True,Domestic Shorthair,Black/White
A625774,Jumper,2010-10-04,2013-10-03 14:10:00,1095.0,Dog,Stray,Injured,Male,False,Labrador Retriever Mix,Yellow
A664455,Diesle,2013-09-03,2013-10-03 14:27:00,30.0,Dog,Stray,Normal,Male,True,Pit Bull Mix,White/Brown Brindle
A664454,,2013-09-03,2013-10-03 14:27:00,30.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,White/Brown Brindle
A664456,Poe,2012-10-03,2013-10-03 14:40:00,365.0,Dog,Stray,Normal,Female,True,Pit Bull/Anatol Shepherd,White/Brown
A664458,Chevy,2011-10-04,2013-10-03 14:44:00,730.0,Dog,Public Assist,Normal,Female,True,Miniature Poodle Mix,White
A664459,Miss Kitty,2005-10-05,2013-10-03 14:59:00,2920.0,Cat,Euthanasia Request,Sick,Female,False,Domestic Shorthair Mix,Brown Tabby/White
A200922,Carlos,1997-10-07,2013-10-03 15:47:00,5840.0,Dog,Owner Surrender,Normal,Male,False,Dachshund Mix,Black/Tan
A664460,,1998-10-07,2013-10-03 16:09:00,5475.0,Dog,Stray,Normal,Male,True,Dachshund Mix,Brown
A664461,,2013-08-04,2013-10-03 16:38:00,60.0,Dog,Stray,Normal,Male,True,Dachshund Wirehair Mix,Tan
A664462,*Edgar,2013-06-05,2013-10-03 16:38:00,120.0,Dog,Stray,Normal,Male,True,Leonberger Mix,Brown/White
A664463,Raven,2013-08-04,2013-10-03 18:09:00,60.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Black
A664464,,2012-10-03,2013-10-03 18:34:00,365.0,Dog,Stray,Normal,Male,True,Dachshund Longhair Mix,Tan
A664468,*Jesse,2012-10-03,2013-10-03 18:45:00,365.0,Dog,Stray,Normal,Male,True,Chesa Bay Retr Mix,Tan/White
A664467,Bandit,2013-03-07,2013-10-03 18:45:00,210.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Gold
A664472,*Broadway,2012-10-03,2013-10-03 23:32:00,365.0,Dog,Stray,Normal,Female,True,Pit Bull Mix,White/Black
A664473,*Arthur,2003-10-07,2013-10-04 00:14:00,3650.0,Cat,Stray,Injured,Male,False,Domestic Shorthair Mix,Orange Tabby
A664474,Charley,2013-09-04,2013-10-04 09:53:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A664475,,2011-10-05,2013-10-04 10:07:00,730.0,Dog,Stray,Injured,Male,True,Chihuahua Shorthair Mix,Tan
A664483,,2013-08-05,2013-10-04 10:46:00,60.0,Dog,Owner Surrender,Normal,Male,True,Dachshund Wirehair/Border Terrier,Tan
A664484,,2013-08-05,2013-10-04 10:46:00,60.0,Dog,Owner Surrender,Normal,Female,True,Dachshund Wirehair/Border Terrier,Black/Tan
A664481,Costello,2013-08-05,2013-10-04 10:46:00,60.0,Dog,Owner Surrender,Normal,Male,True,Dachshund Wirehair/Border Terrier,Black/Tan
A664482,,2013-08-05,2013-10-04 10:46:00,60.0,Dog,Owner Surrender,Normal,Male,True,Dachshund Wirehair/Border Terrier,Tan
A664485,*Peaches,2013-09-04,2013-10-04 11:01:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Torbie
A664486,*Taylor,2013-09-04,2013-10-04 11:01:00,30.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Orange Tabby
A664487,*Chris Angel,2013-09-04,2013-10-04 11:01:00,30.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Orange Tabby
A664493,*Teddy,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Black
A664489,Nikole,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Black/White
A664490,*Nikko,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Black
A664491,,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Black
A664492,*Hercules,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Male,True,Labrador Retriever Mix,Black
A664623,Dahlia,2013-09-04,2013-10-04 11:05:00,30.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,Black/White
A664498,Gypsy,2009-10-05,2013-10-04 11:38:00,1460.0,Dog,Stray,Normal,Female,True,Mastiff/Dutch Shepherd,Brown Brindle
A664494,*Flower,2006-10-06,2013-10-04 11:44:00,2555.0,Cat,Stray,Normal,Female,False,Domestic Longhair Mix,Tortie
A664496,,2005-10-06,2013-10-04 12:00:00,2920.0,Dog,Stray,Normal,Female,True,Rat Terrier Mix,White/Black
A664497,,2011-10-05,2013-10-04 12:00:00,730.0,Dog,Stray,Normal,Female,True,Rat Terrier/Australian Cattle Dog,Tricolor
A664499,,2011-10-05,2013-10-04 12:00:00,730.0,Dog,Stray,Normal,Female,True,Australian Cattle Dog Mix,Tricolor
A664501,Mittens,2013-08-05,2013-10-04 12:08:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A664502,,2013-08-05,2013-10-04 12:08:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A664503,,2013-08-05,2013-10-04 12:08:00,60.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A664507,,2013-01-07,2013-10-04 13:57:00,270.0,Dog,Stray,Normal,Female,True,Dachshund/Chihuahua Shorthair,Brown/Tan
A664506,Pearl,2004-10-06,2013-10-04 13:59:00,3285.0,Dog,Stray,Normal,Female,False,Greyhound Mix,Tan/White
A664509,*Dancer,2013-03-08,2013-10-04 14:02:00,210.0,Dog,Stray,Normal,Female,True,Boxer Mix,Black/White
A663123,Travis,2012-12-08,2013-10-04 14:05:00,300.0,Dog,Stray,Normal,Male,False,Dachshund Wirehair/Standard Poodle,Black
A663004,*Allie,2013-02-06,2013-10-04 14:11:00,240.0,Dog,Owner Surrender,Normal,Female,False,Bulldog/Australian Cattle Dog,Black/White
A664510,*Gizzmo,2013-08-05,2013-10-04 14:27:00,60.0,Cat,Stray,Normal,Male,True,Domestic Longhair Mix,Blue/White
A664513,*Sarah,2013-07-06,2013-10-04 15:00:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Tortie
A664517,Cheddar,2013-07-06,2013-10-04 15:23:00,90.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Cream Tabby
A664516,Sable,2013-07-06,2013-10-04 15:23:00,90.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black
A664515,Chloe,2013-07-06,2013-10-04 15:23:00,90.0,Cat,Owner Surrender,Normal,Female,True,Manx Mix,Calico
A664514,Zane,2013-07-06,2013-10-04 15:23:00,90.0,Cat,Owner Surrender,Normal,Male,True,Manx Mix,Brown Tabby/White
A664519,,2007-10-06,2013-10-04 16:20:00,2190.0,Dog,Stray,Normal,Male,True,Carolina Dog Mix,Sable
A664521,*Graham,2012-10-04,2013-10-04 17:12:00,365.0,Dog,Stray,Normal,Male,False,Labrador Retriever Mix,Yellow
A664522,*Lucy,2012-10-04,2013-10-04 17:32:00,365.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair Mix,White/Yellow
A651690,Rocky,2011-10-05,2013-10-04 17:36:00,730.0,Dog,Stray,Normal,Male,False,Chihuahua Shorthair Mix,Brown
A664524,,2013-06-06,2013-10-04 18:06:00,120.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair Mix,Cream
A664529,*Magic,2011-10-05,2013-10-04 18:34:00,730.0,Cat,Stray,Normal,Female,False,Domestic Shorthair Mix,Brown Tabby/White
A664532,,2013-10-04,2013-10-04 22:05:00,0.0,Other,Wildlife,Normal,Unknown,,Bat Mix,Brown/Brown
A664605,Diesel,2010-10-06,2013-10-05 00:02:00,1095.0,Dog,Public Assist,Injured,Female,False,Pointer Mix,White/Brown
